AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,version
1,1,1,1,79,13,44,21,2681,53,145,17332,3081,14612,11378,1978,1517,429,32,11431,16097,729,424,10278,245639,495,2213,229171,40677,51,339,37456,137268,1647,126644,67236,3,227,65094,36709,1,70893,32786,247,32539,38255,792,37463,19171,19133,19500,17481,15,15,10,4,6,0.49,19938,19894,20282,18150,v1.0.5
1,1,1,1,79,13,44,21,2681,44,150,17333,3080,14614,11252,1927,1467,428,32,11296,15885,690,409,10197,245635,495,2213,229167,40674,51,339,37453,137279,1647,126655,67224,3,227,65082,36507,1,70897,32788,247,32541,38257,792,37465,18965,18929,19294,17332,15,15,10,4,6,0.49,19933,19889,20277,18151,v1.0.6
1,1,1,1,79,13,44,21,2681,55,189,17333,3080,14614,11545,1995,1533,430,32,11600,16303,740,447,10413,245633,495,2213,229165,40674,51,339,37453,137277,1647,126653,67224,3,227,65082,36995,1,70897,32788,247,32541,38257,792,37465,19425,19381,19763,17698,15,15,10,4,6,0.49,19933,19889,20277,18151,v1.0.7
1,1,1,1,79,13,44,21,2681,43,145,17333,3080,14614,11366,1990,1529,429,32,11409,15916,713,420,10276,245638,495,2213,229170,40675,51,339,37454,137281,1647,126657,67224,3,227,65082,36672,1,70900,32788,247,32541,38260,792,37468,19118,19080,19452,17437,15,15,10,4,6,0.49,19934,19890,20279,18152,v1.0.8
1,1,1,1,79,13,44,21,2682,53,146,17338,3081,14618,11432,1972,1502,438,32,11485,16157,710,416,10359,245739,495,2213,229271,40700,51,339,37479,137335,1647,126711,67246,3,227,65104,36792,1,70937,32812,247,32565,38273,792,37481,19246,19212,19580,17588,15,15,10,4,6,0.49,19939,19895,20282,18157,v1.0.9
1,1,1,1,80,13,44,21,2698,54,147,17499,3098,14765,11514,1999,1538,429,32,11568,16161,736,434,10398,248573,495,2264,231997,41105,51,349,37863,139116,1680,128413,67894,3,235,65744,53659,1,71700,33075,249,32826,38775,813,37962,19429,19389,19774,17702,16,16,10,4,6,0.49,20149,20105,20502,18343,v1.1.0
1,1,1,1,80,13,44,21,2698,43,148,17498,3098,14764,11308,1954,1483,439,32,11351,16080,708,431,10212,248558,495,2258,231988,41101,51,348,37860,139108,1675,128410,67891,3,235,65741,53354,1,71687,33072,249,32823,38765,810,37955,19138,19100,19478,17455,16,16,10,4,6,0.49,20145,20101,20498,18342,v1.1.0-RC
1,1,1,1,80,13,44,21,2698,54,151,17493,3098,14759,11276,1967,1500,435,32,11330,16042,738,435,10157,248527,495,2264,231951,41099,51,349,37857,139092,1680,128389,67878,3,235,65728,53374,1,71688,33071,249,32822,38767,813,37954,19150,19110,19489,17433,16,16,10,4,6,0.49,20143,20099,20497,18337,v1.1.1
1,1,1,1,80,13,44,21,2699,43,150,17498,3099,14763,11160,1906,1433,441,32,11203,15677,678,394,10131,248942,495,2332,232303,41184,51,359,37932,139322,1738,128566,67978,3,235,65828,53153,1,71836,33171,254,32917,38820,829,37991,18920,18886,19265,17276,16,16,10,4,6,0.49,20152,20108,20509,18344,v1.1.10
1,1,1,1,80,13,45,21,2698,44,149,17509,3098,14775,11401,1947,1485,430,32,11445,15742,705,404,10336,249067,495,2332,232427,41213,51,359,37961,139428,1738,128671,67968,3,235,65818,53436,1,71906,33180,254,32926,38881,829,38052,19198,19162,19544,17519,16,16,10,4,6,0.49,20168,20124,20525,18357,v1.1.11
